sep=,
File............:  30cycle - JAN;12.2023
System..........:  
Temperature.....:  -0.0+-0.0C
Time............:  11:20:46-12:41:18
Slewrate........:  10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
Reference.......:   0.5498549;  1.2776189 PO/PF  0; 3444
Cyclic voltammogram
Lines:   15100
Columns: 8
Number,Time/s,Potential/V,Current/A,TC:K;V=201/C,TC:K;V=201/C,NTC/C,pos_x_fi/m,pos_x_la/m
83,2.624e+01,0.254231,1.938e-06,9.035e+00,8.597e+00,3.865e+01,9.853e-02,4.140e-02
84,2.656e+01,0.257425,1.916e-06,9.035e+00,8.596e+00,3.865e+01,9.853e-02,4.140e-02
85,2.688e+01,0.260619,1.899e-06,9.037e+00,8.599e+00,3.865e+01,9.853e-02,4.140e-02
86,2.720e+01,0.263813,1.907e-06,9.038e+00,8.599e+00,3.865e+01,9.853e-02,4.140e-02
87,2.752e+01,0.267007,1.907e-06,9.035e+00,8.597e+00,3.865e+01,9.853e-02,4.140e-02
88,2.784e+01,0.270201,1.910e-06,9.038e+00,8.600e+00,3.865e+01,9.853e-02,4.140e-02
89,2.816e+01,0.273396,1.924e-06,9.037e+00,8.599e+00,3.865e+01,9.853e-02,4.140e-02
90,2.848e+01,0.276590,1.932e-06,9.037e+00,8.599e+00,3.866e+01,9.853e-02,4.140e-02
91,2.880e+01,0.279943,1.940e-06,9.037e+00,8.598e+00,3.866e+01,9.853e-02,4.140e-02
92,2.912e+01,0.283137,1.947e-06,9.037e+00,8.598e+00,3.866e+01,9.853e-02,4.140e-02
93,2.944e+01,0.286331,1.957e-06,9.037e+00,8.599e+00,3.866e+01,9.853e-02,4.140e-02
94,2.976e+01,0.289525,1.968e-06,9.035e+00,8.597e+00,3.866e+01,9.853e-02,4.140e-02
95,3.008e+01,0.292719,1.969e-06,9.037e+00,8.598e+00,3.866e+01,9.853e-02,4.140e-02
96,3.040e+01,0.295914,1.971e-06,9.037e+00,8.598e+00,3.866e+01,9.853e-02,4.140e-02
97,3.072e+01,0.299108,1.981e-06,9.037e+00,8.598e+00,3.866e+01,9.853e-02,4.140e-02
98,3.104e+01,0.302302,1.983e-06,9.038e+00,8.602e+00,3.866e+01,9.853e-02,4.140e-02
99,3.136e+01,0.305496,1.978e-06,9.038e+00,8.601e+00,3.866e+01,9.853e-02,4.140e-02
100,3.168e+01,0.308690,1.984e-06,9.037e+00,8.601e+00,3.866e+01,9.853e-02,4.140e-02
101,3.200e+01,0.311884,2.000e-06,9.037e+00,8.600e+00,3.865e+01,9.853e-02,4.140e-02
102,3.232e+01,0.315078,1.991e-06,9.037e+00,8.601e+00,3.865e+01,9.853e-02,4.140e-02
